qid,question,qtype,raw_prob,prob,at,source
45718,"Will the 'Ban Artificial Superintelligence Act' be formally introduced in Congress by September 18, 2026?",binary,0.4,0.4,2026-09-07T07:05:48.221445+00:00,crowd+esc
45719,"Will the NSE IPO be open for subscription at any point on September 17 or September 18, 2026 (IST)?",binary,0.4667,0.4667,2026-09-07T07:40:48.537754+00:00,crowd
45720,"How many metric tons of net US soybean sales to China (2026/27 marketing year) will the USDA Weekly Export Sales report released September 17, 2026 show?",numeric,"{""0.05"": -50000.0, ""0.25"": 150000.0, ""0.5"": 450000.0, ""0.75"": 900000.0, ""0.95"": 1600000.0}",cdf:201,2026-09-07T07:50:43.335426+00:00,numeric
45721,"How many drones will Russia launch at Ukraine in the overnight attack reported on the morning of September 18, 2026?",numeric,"{""0.05"": 60.0, ""0.25"": 130.0, ""0.5"": 220.0, ""0.75"": 350.0, ""0.95"": 600.0}",cdf:201,2026-09-07T08:25:47.363174+00:00,numeric
45722,Will ECDC report locally acquired human West Nile virus cases in 17 or more countries in its 2026 weekly surveillance update published around 18 September 2026?,binary,0.6,0.6,2026-09-07T08:36:26.675501+00:00,crowd+esc
45723,"What will the top score on the ARC Prize 2026 – ARC-AGI-3 Kaggle public leaderboard be on September 17, 2026?",numeric,"{""0.05"": 7.2, ""0.25"": 8.5, ""0.5"": 9.8, ""0.75"": 11.5, ""0.95"": 15.5}",cdf:201,2026-09-07T09:25:51.791696+00:00,numeric
45724,Will exploratory coalition talks involving the CDU have publicly begun in Saxony-Anhalt by 17 September 2026?,binary,0.4667,0.4667,2026-09-07T09:40:50.179404+00:00,crowd
45725,What will the September 2026 Philadelphia Fed Manufacturing Business Outlook Survey current general activity index read?,numeric,"{""0.05"": 5.0, ""0.25"": 20.0, ""0.5"": 32.0, ""0.75"": 44.0, ""0.95"": 55.0}",cdf:201,2026-09-07T09:45:48.428829+00:00,numeric
45726,"What will U.S. seasonally adjusted advance initial jobless claims be for the week ending September 12, 2026?",discrete,"{""0.05"": 190000.0, ""0.25"": 200000.0, ""0.5"": 207000.0, ""0.75"": 214000.0, ""0.95"": 228000.0}",cdf:57,2026-09-07T10:00:44.423945+00:00,numeric
45727,What will the U.S. seasonally adjusted annual rate of total housing starts be for August 2026?,discrete,"{""0.05"": 1080.0, ""0.25"": 1220.0, ""0.5"": 1300.0, ""0.75"": 1390.0, ""0.95"": 1500.0}",cdf:62,2026-09-07T10:46:19.266361+00:00,numeric
45728,"Will Bitcoin close above $80,000 on September 17, 2026?",binary,0.5,0.5,2026-09-07T11:06:22.558228+00:00,crowd+esc
45729,"What will Chhattisgarh's cumulative confirmed 2026 H1N1 (swine flu) case count reach in state Health Department data reported on or after September 17, 2026?",numeric,"{""0.05"": 260.0, ""0.25"": 350.0, ""0.5"": 460.0, ""0.75"": 600.0, ""0.95"": 800.0}",cdf:201,2026-09-07T11:56:27.319907+00:00,numeric
45730,"If Anthropic files a public IPO prospectus by September 17, 2026, which U.S. exchange will it name as its intended listing venue?",multiple_choice,"{""Nasdaq"": 0.25, ""New York Stock Exchange (NYSE)"": 0.06, ""No public S-1 filed yet"": 0.62, ""Other outcome"": 0.07}","{""Nasdaq"": 0.25, ""New York Stock Exchange (NYSE)"": 0.06, ""No public S-1 filed yet"": 0.62, ""Other outcome"": 0.07}",2026-09-07T12:26:43.467557+00:00,mc
45731,How many locally acquired human West Nile virus cases will ECDC report for Italy in 2026 in the weekly update published on or around 18 September 2026?,numeric,"{""0.05"": 620.0, ""0.25"": 720.0, ""0.5"": 800.0, ""0.75"": 900.0, ""0.95"": 1050.0}",cdf:201,2026-09-07T12:46:37.241985+00:00,numeric
45732,"How many SpaceX orbital launches will occur on September 17, 2026 (UTC)?",discrete,"{""0.05"": 0.0, ""0.25"": 1.0, ""0.5"": 1.0, ""0.75"": 2.0, ""0.95"": 3.0}",cdf:6,2026-09-07T12:51:20.692209+00:00,numeric
45733,"Will Singapore's 24-hour PSI reach the Unhealthy band (101 or higher) in at least one region on September 17 or 18, 2026?",binary,0.4,0.4,2026-09-07T12:56:21.169718+00:00,crowd
45734,"Will the Bishkek City Court's appellate verdict in the 'Letter 75' case have been issued by September 17, 2026?",binary,0.4,0.4,2026-09-07T13:15:40.902602+00:00,crowd+esc
45735,"What will UNE forecast as Cuba's peak-hour electricity generation deficit for the night of September 18, 2026?",discrete,"{""0.05"": 1750.0, ""0.25"": 2050.0, ""0.5"": 2220.0, ""0.75"": 2400.0, ""0.95"": 2650.0}",cdf:26,2026-09-07T13:30:46.978304+00:00,numeric
45736,"What will Lululemon's (LULU) closing stock price be on September 17, 2026?",numeric,"{""0.05"": 84.0, ""0.25"": 94.0, ""0.5"": 100.0, ""0.75"": 106.0, ""0.95"": 116.0}",cdf:201,2026-09-07T14:00:47.400303+00:00,numeric
45737,"Will the first dedicated bilateral US-China AI safety/security talks of Trump's second term be publicly confirmed to have taken place before September 18, 2026?",binary,0.4,0.4,2026-09-07T14:15:40.868412+00:00,crowd+esc
45738,"How many countries will vote in favor of the IAEA resolution ""Application of IAEA Safeguards in the Middle East"" at the 70th General Conference?",discrete,"{""0.05"": 105.0, ""0.25"": 113.0, ""0.5"": 117.0, ""0.75"": 121.0, ""0.95"": 126.0}",cdf:32,2026-09-07T15:20:41.583114+00:00,numeric
45739,"Will the CDC report 5 or more human West Nile virus disease cases in Florida for 2026 by September 18, 2026?",binary,0.5333,0.5333,2026-09-07T15:51:21.406158+00:00,crowd+esc
45740,How many cumulative locally acquired human West Nile virus cases in Europe will ECDC report in its weekly surveillance update published on or around 18 September 2026?,numeric,"{""0.05"": 1141.7, ""0.25"": 1364.5, ""0.5"": 1643.0, ""0.75"": 1921.5, ""0.95"": 2144.3}",cdf:201,2026-09-07T15:51:21.406158+00:00,fallback
